Date;Time;T1;H1;T2;H2;ch1.12CO2;ch2.12CO2;ch2.13CO2
19.09.2021;06:27:05;17.821045;69.683838;17.872314;70.59021;435.468567;483.840454;20.569468
19.09.2021;06:27:15;17.854004;69.763184;17.897949;70.697021;435.773743;481.933014;19.959116
19.09.2021;06:27:25;17.832031;69.93103;17.949219;70.776367;435.544861;484.832275;20.264292
19.09.2021;06:27:35;17.84668;70.004272;17.901611;70.892334;444.700439;482.924927;20.264292
19.09.2021;06:27:45;17.810059;70.214844;17.908936;71.005249;472.85376;477.584076;20.645809
19.09.2021;06:27:55;17.832031;70.318604;17.897949;71.31958;462.70636;461.409363;20.41688
19.09.2021;06:28:05;17.945557;70.593262;17.952881;71.533203;449.659729;440.809357;19.119835
19.09.2021;06:28:15;17.960205;70.730591;17.952881;71.777344;439.51236;409.985626;18.509483
19.09.2021;06:28:25;17.98584;70.819092;17.982178;71.99707;426.618286;414.868652;17.899084
19.09.2021;06:28:35;17.98584;70.986938;18.040771;72.183228;414.792358;382.671631;16.907215
19.09.2021;06:28:45;18.007812;71.096802;18.092041;72.521973;404.263397;366.115295;17.059851
19.09.2021;06:28:55;18.059082;71.21582;18.066406;72.628784;394.726379;359.401215;17.288733
19.09.2021;06:29:05;18.117676;71.429443;18.114014;72.854614;382.900513;327.12793;15.915394
19.09.2021;06:29:15;18.165283;71.463013;18.132324;73.052979;371.608643;315.912354;15.610218
19.09.2021;06:29:25;18.157959;71.633911;18.161621;73.193359;362.071594;324.45755;15.686512
19.09.2021;06:29:35;18.205566;71.731567;18.179932;73.413086;353.297516;321.100433;15.915394
19.09.2021;06:29:45;18.198242;71.786499;18.220215;73.504639;342.921265;285.241272;14.465761
19.09.2021;06:29:55;18.249512;71.966553;18.216553;73.760986;333.536713;274.636017;14.160585
19.09.2021;06:30:05;18.260498;72.103882;18.220215;73.925781;323.923401;275.24649;14.694691
19.09.2021;06:30:15;18.249512;72.177124;18.271484;74.041748;317.896088;267.998322;14.542103
19.09.2021;06:30:25;18.275146;72.250366;18.249512;74.258423;306.909454;258.537567;14.694691
19.09.2021;06:30:35;18.271484;72.451782;18.260498;74.377441;299.050842;249.153137;14.847279
19.09.2021;06:30:45;18.337402;72.506714;18.256836;74.502563;290.276825;240.302704;14.236879
19.09.2021;06:30:55;18.344727;72.692871;18.289795;74.749756;281.426422;233.283478;13.931704
19.09.2021;06:31:05;18.33374;72.839355;18.31543;74.868774;272.728668;218.634552;13.702822
19.09.2021;06:31:15;18.271484;72.93396;18.311768;74.963379;267.845734;203.833099;12.558365
19.09.2021;06:31:25;18.31543;73.05603;18.304443;75.143433;258.384979;200.704956;12.558365
19.09.2021;06:31:35;18.249512;73.190308;18.289795;75.204468;252.128647;196.508652;12.329483
19.09.2021;06:31:45;18.271484;73.388672;18.286133;75.323486;245.338303;191.549393;12.787247
19.09.2021;06:31:55;18.278809;73.492432;18.297119;75.476074;240.60788;191.091629;12.482071
19.09.2021;06:32:05;18.289795;73.632812;18.293457;75.683594;232.215363;186.742737;12.253189
19.09.2021;06:32:15;18.271484;73.736572;18.289795;75.769043;226.187897;178.807922;11.490202
19.09.2021;06:32:25;18.300781;73.83728;18.311768;75.906372;219.016129;167.058319;11.337614
19.09.2021;06:32:35;18.267822;73.925781;18.293457;75.976562;213.293839;160.649445;10.803556
19.09.2021;06:32:45;18.242187;74.160767;18.297119;76.190186;208.334595;157.063477;10.956144
19.09.2021;06:32:55;18.24585;74.249268;18.311768;76.312256;203.45163;152.256821;11.566496
19.09.2021;06:33:05;18.201904;74.371338;18.271484;76.358032;196.432358;145.695312;11.26132
19.09.2021;06:33:15;18.201904;74.472046;18.249512;76.559448;192.770203;143.253845;10.422087
19.09.2021;06:33:25;18.183594;74.591064;18.234863;76.626587;186.971619;139.973114;11.108732
19.09.2021;06:33:35;18.183594;74.761963;18.267822;76.730347;180.486481;136.768723;11.64279
19.09.2021;06:33:45;18.216553;74.89624;18.242187;76.843262;176.595352;128.452393;10.574675
19.09.2021;06:33:55;18.172607;74.996948;18.260498;76.968384;172.475342;117.160561;10.040617
19.09.2021;06:34:05;18.135986;75.115967;18.249512;77.047729;166.829437;113.574646;10.87985
19.09.2021;06:34:15;18.157959;75.125122;18.256836;77.151489;161.488678;111.590912;9.506512
19.09.2021;06:34:25;18.146973;75.280762;18.256836;77.224731;157.750122;108.004997;9.430218
19.09.2021;06:34:35;18.187256;75.387573;18.256836;77.334595;154.316849;106.250191;10.040617
19.09.2021;06:34:45;18.135986;75.494385;18.249512;77.407837;152.485703;104.113914;9.735441
19.09.2021;06:34:55;18.157959;75.540161;18.216553;77.502441;146.839813;103.12204;10.040617
19.09.2021;06:35:05;18.168945;75.588989;18.256836;77.55127;143.253845;96.40799;9.201336
19.09.2021;06:35:15;18.168945;75.714111;18.24585;77.615356;139.362762;91.67762;8.972454
19.09.2021;06:35:25;18.187256;75.762939;18.249512;77.642822;136.310959;87.633896;9.430218
19.09.2021;06:35:35;18.165283;75.866699;18.256836;77.758789;134.403519;86.260559;9.353924
19.09.2021;06:35:45;18.157959;75.891113;18.249512;77.792358;128.147217;85.268692;9.201336
19.09.2021;06:35:55;18.139648;75.973511;18.256836;77.841187;125.934601;84.963516;9.430218
19.09.2021;06:36:05;18.143311;75.994873;18.26416;77.954102;122.65387;81.453896;8.89616
19.09.2021;06:36:15;18.139648;76.113892;18.242187;78.012085;118.610191;75.579117;9.430218
19.09.2021;06:36:25;18.103027;76.135254;18.24585;78.005981;116.321327;69.85688;9.27763
19.09.2021;06:36:35;18.070068;76.272583;18.260498;78.125;114.261292;69.017601;9.811735
19.09.2021;06:36:45;18.081055;76.290894;18.256836;78.204346;110.446503;68.178322;8.819866
19.09.2021;06:36:55;18.157959;76.330566;18.249512;78.204346;107.852409;65.965744;8.209467
19.09.2021;06:37:05;18.161621;76.400757;18.242187;78.237915;105.410957;62.379837;8.667278
19.09.2021;06:37:15;18.106689;76.452637;18.267822;78.28064;103.579803;61.464264;8.209467
19.09.2021;06:37:25;18.121338;76.461792;18.242187;78.393555;100.909424;58.48875;8.590984
19.09.2021;06:37:35;18.143311;76.553345;18.282471;78.393555;97.552444;56.428719;8.972454
19.09.2021;06:37:45;18.161621;76.522827;18.242187;78.414917;94.27166;49.333191;7.370234
19.09.2021;06:37:55;18.143311;76.629639;18.267822;78.45459;93.966484;50.630188;8.438396
19.09.2021;06:38:05;18.168945;76.715088;18.267822;78.521729;89.846466;50.248718;8.51469
19.09.2021;06:38:15;18.157959;76.690674;18.249512;78.57666;89.388702;51.622055;8.89616
19.09.2021;06:38:25;18.172607;76.782227;18.238525;78.546143;85.955383;47.196865;7.522821
19.09.2021;06:38:35;18.143311;76.812744;18.26416;78.604126;85.345032;46.433926;8.819866
19.09.2021;06:38:45;18.165283;76.861572;18.249512;78.652954;81.911705;45.060585;8.590984
19.09.2021;06:38:55;18.161621;76.852417;18.256836;78.677368;79.775383;41.093159;8.438396
19.09.2021;06:39:05;18.139648;76.950073;18.249512;78.753662;78.020569;40.101288;8.819866
19.09.2021;06:39:15;18.135986;76.940918;18.260498;78.744507;74.816132;40.024994;8.438396
19.09.2021;06:39:25;18.103027;76.965332;18.267822;78.75061;72.222046;38.270233;8.590984
19.09.2021;06:39:35;18.121338;76.977539;18.256836;78.747559;72.67981;33.7687;8.819866
19.09.2021;06:39:45;18.165283;77.029419;18.242187;78.814697;70.23835;35.294678;7.522821
19.09.2021;06:39:55;18.103027;77.105713;18.256836;78.863525;68.636131;34.531689;7.522821
19.09.2021;06:40:05;18.150635;77.114868;18.234863;78.890991;66.881271;33.692406;8.438396
